training_example_id,customer_id,merchant_id,amount,failure_category,payment_method,time_since_failure_min,customer_success_rate,customer_failure_rate,payment_method_success_rate,payment_method_failure_rate,previous_recovery_attempts,previous_recovery_successes,previous_recovery_failures,candidate_action,outcome
training_0338,cust_0331,merchant_033,824.64,PAYMENT_METHOD_ERROR,NETBANKING,2478,0.7065,0.3001,0.4635,0.6005,2,0,1,REMINDER,FAILURE
training_0339,cust_0068,merchant_017,253.30,PAYMENT_METHOD_ERROR,WALLET,356,0.8384,0.3290,0.4566,0.1881,2,0,1,REMINDER,FAILURE
training_0340,cust_0184,merchant_011,642.73,UNKNOWN_FAILURE,WALLET,929,0.5699,0.3131,0.5449,0.2708,4,0,2,RETRY,FAILURE
training_0341,cust_0323,merchant_045,489.34,INSUFFICIENT_FUNDS,WALLET,671,0.5239,0.7730,0.2657,0.6517,5,1,3,REMINDER,FAILURE
training_0342,cust_0315,merchant_029,723.38,TEMPORARY_FAILURE,UPI,69,0.1099,0.7780,0.3860,0.6602,4,0,1,REMINDER,FAILURE
training_0343,cust_0196,merchant_014,927.72,UNKNOWN_FAILURE,UPI,2557,0.1758,0.8896,0.8729,0.7124,3,2,0,REMINDER,FAILURE
training_0344,cust_0328,merchant_034,563.01,INSUFFICIENT_FUNDS,NETBANKING,74,0.3289,0.3662,0.3951,0.3252,5,3,2,RETRY,FAILURE
training_0345,cust_0140,merchant_035,705.00,TEMPORARY_FAILURE,UPI,999,0.5147,0.5794,0.2175,0.8805,5,4,0,REMINDER,FAILURE
training_0346,cust_0002,merchant_001,699.26,UNKNOWN_FAILURE,NETBANKING,16,0.3412,0.3185,0.2919,0.2376,1,0,0,REMINDER,FAILURE
training_0347,cust_0129,merchant_020,280.98,INSUFFICIENT_FUNDS,UPI,940,0.3035,0.3049,0.2180,0.7431,3,2,1,RETRY,FAILURE
training_0348,cust_0268,merchant_010,308.11,UNKNOWN_FAILURE,CARD,805,0.3821,0.3316,0.5490,0.7566,1,0,0,REMINDER,FAILURE
training_0349,cust_0057,merchant_007,947.87,INSUFFICIENT_FUNDS,NETBANKING,28,0.7116,0.8062,0.6087,0.8696,2,1,0,REMINDER,SUCCESS
training_0350,cust_0040,merchant_019,872.40,TEMPORARY_FAILURE,WALLET,2045,0.7286,0.8317,0.4245,0.4437,3,1,1,RETRY,SUCCESS
training_0351,cust_0292,merchant_038,641.65,TEMPORARY_FAILURE,WALLET,2424,0.4632,0.4520,0.8824,0.0964,3,0,2,RETRY,FAILURE
training_0352,cust_0022,merchant_015,583.71,PAYMENT_METHOD_ERROR,UPI,1367,0.7633,0.3893,0.3063,0.2670,0,0,0,REMINDER,SUCCESS
training_0353,cust_0191,merchant_004,542.01,TEMPORARY_FAILURE,WALLET,2491,0.4902,0.5096,0.4965,0.4040,4,3,0,REMINDER,FAILURE
training_0354,cust_0208,merchant_041,12.57,INSUFFICIENT_FUNDS,NETBANKING,443,0.1472,0.2227,0.5090,0.5586,2,0,1,RETRY,FAILURE
training_0355,cust_0312,merchant_001,886.02,INSUFFICIENT_FUNDS,WALLET,2542,0.6725,0.5060,0.1102,0.5582,5,2,2,RETRY,FAILURE
training_0356,cust_0311,merchant_016,152.95,TEMPORARY_FAILURE,WALLET,225,0.2300,0.7484,0.7520,0.3499,1,0,0,REMINDER,FAILURE
training_0357,cust_0267,merchant_025,337.38,INSUFFICIENT_FUNDS,WALLET,491,0.3734,0.7896,0.5248,0.2840,1,1,0,RETRY,FAILURE
training_0358,cust_0141,merchant_030,869.95,PAYMENT_METHOD_ERROR,CARD,357,0.1356,0.3588,0.8839,0.4036,0,0,0,RETRY,SUCCESS
training_0359,cust_0142,merchant_031,586.65,TEMPORARY_FAILURE,WALLET,972,0.8174,0.8051,0.1185,0.8929,3,1,2,REMINDER,FAILURE
training_0360,cust_0242,merchant_018,28.36,INSUFFICIENT_FUNDS,CARD,1839,0.2930,0.2474,0.5750,0.2249,0,0,0,RETRY,FAILURE
training_0361,cust_0289,merchant_042,12.97,PAYMENT_METHOD_ERROR,WALLET,851,0.8721,0.7081,0.2367,0.2017,2,1,0,RETRY,FAILURE
training_0362,cust_0008,merchant_019,808.26,TEMPORARY_FAILURE,NETBANKING,1493,0.7768,0.4599,0.6840,0.8274,0,0,0,RETRY,FAILURE
training_0363,cust_0174,merchant_035,629.39,INSUFFICIENT_FUNDS,CARD,1510,0.7077,0.5098,0.4061,0.6905,0,0,0,RETRY,FAILURE
training_0364,cust_0325,merchant_033,918.20,UNKNOWN_FAILURE,CARD,1805,0.7130,0.7441,0.4294,0.1656,2,1,0,REMINDER,FAILURE
training_0365,cust_0039,merchant_034,389.92,UNKNOWN_FAILURE,NETBANKING,2710,0.4591,0.7704,0.1251,0.2446,4,3,1,REMINDER,FAILURE
training_0366,cust_0184,merchant_009,752.28,UNKNOWN_FAILURE,NETBANKING,419,0.2281,0.0549,0.2152,0.2676,1,0,1,REMINDER,FAILURE
training_0367,cust_0104,merchant_035,303.51,UNKNOWN_FAILURE,NETBANKING,165,0.1935,0.2142,0.9487,0.1988,4,2,1,RETRY,FAILURE
training_0368,cust_0244,merchant_010,220.48,UNKNOWN_FAILURE,CARD,1531,0.8847,0.4786,0.2444,0.7517,4,0,3,RETRY,FAILURE
training_0369,cust_0072,merchant_018,28.24,UNKNOWN_FAILURE,WALLET,1298,0.3874,0.2296,0.8992,0.4567,5,4,1,REMINDER,FAILURE
training_0370,cust_0241,merchant_031,332.58,UNKNOWN_FAILURE,UPI,1967,0.4756,0.4532,0.3230,0.0583,4,0,0,REMINDER,FAILURE
training_0371,cust_0007,merchant_037,319.34,PAYMENT_METHOD_ERROR,UPI,1560,0.3116,0.1975,0.9190,0.8962,4,1,0,REMINDER,FAILURE
training_0372,cust_0287,merchant_006,173.07,TEMPORARY_FAILURE,CARD,2582,0.4260,0.1057,0.1429,0.8301,2,0,1,RETRY,FAILURE
training_0373,cust_0174,merchant_044,559.36,TEMPORARY_FAILURE,WALLET,137,0.8832,0.3304,0.6242,0.7718,4,0,2,REMINDER,FAILURE
training_0374,cust_0245,merchant_020,917.29,UNKNOWN_FAILURE,NETBANKING,1149,0.1793,0.7077,0.4046,0.6432,2,2,0,REMINDER,FAILURE
training_0375,cust_0210,merchant_033,49.26,UNKNOWN_FAILURE,NETBANKING,2594,0.8675,0.1933,0.5234,0.7261,4,2,2,REMINDER,FAILURE
training_0376,cust_0184,merchant_010,383.71,INSUFFICIENT_FUNDS,NETBANKING,1192,0.5644,0.1647,0.1291,0.1580,3,0,0,RETRY,FAILURE
training_0377,cust_0189,merchant_045,138.00,TEMPORARY_FAILURE,WALLET,1143,0.5750,0.6713,0.1225,0.6366,1,1,0,REMINDER,FAILURE
training_0378,cust_0161,merchant_015,245.81,TEMPORARY_FAILURE,UPI,1167,0.5606,0.1328,0.9417,0.1133,4,2,0,REMINDER,FAILURE
training_0379,cust_0300,merchant_039,94.91,INSUFFICIENT_FUNDS,CARD,361,0.5155,0.4540,0.9141,0.7282,5,1,0,RETRY,FAILURE
training_0380,cust_0088,merchant_031,717.22,INSUFFICIENT_FUNDS,WALLET,2851,0.4090,0.1716,0.7266,0.7085,0,0,0,RETRY,SUCCESS
training_0381,cust_0088,merchant_011,873.36,PAYMENT_METHOD_ERROR,NETBANKING,2558,0.8424,0.6439,0.1532,0.6856,2,2,0,REMINDER,FAILURE
training_0382,cust_0057,merchant_033,772.48,PAYMENT_METHOD_ERROR,UPI,489,0.4636,0.3960,0.6667,0.5842,4,3,0,RETRY,FAILURE
training_0383,cust_0295,merchant_025,962.14,TEMPORARY_FAILURE,NETBANKING,1988,0.1894,0.3385,0.1415,0.8934,2,1,1,REMINDER,FAILURE
training_0384,cust_0219,merchant_037,327.61,PAYMENT_METHOD_ERROR,WALLET,2251,0.7631,0.7269,0.2745,0.1983,3,0,1,RETRY,FAILURE
training_0385,cust_0006,merchant_031,578.09,TEMPORARY_FAILURE,CARD,1092,0.4540,0.1208,0.2717,0.7133,3,3,0,RETRY,SUCCESS
training_0386,cust_0104,merchant_048,259.65,INSUFFICIENT_FUNDS,CARD,385,0.4945,0.7638,0.4523,0.1598,2,0,0,RETRY,FAILURE
training_0387,cust_0279,merchant_046,290.07,PAYMENT_METHOD_ERROR,UPI,2094,0.5840,0.4686,0.3998,0.8372,5,0,4,RETRY,FAILURE
training_0388,cust_0012,merchant_041,575.39,PAYMENT_METHOD_ERROR,NETBANKING,2536,0.9490,0.6945,0.4898,0.3963,2,0,1,RETRY,FAILURE
training_0389,cust_0117,merchant_018,229.26,PAYMENT_METHOD_ERROR,WALLET,1613,0.2178,0.4493,0.2300,0.5366,1,0,0,REMINDER,FAILURE
training_0390,cust_0285,merchant_045,144.55,UNKNOWN_FAILURE,NETBANKING,2648,0.6310,0.5834,0.7192,0.1565,5,0,1,RETRY,FAILURE
training_0391,cust_0339,merchant_035,452.91,TEMPORARY_FAILURE,WALLET,2077,0.1374,0.3392,0.6055,0.6968,0,0,0,REMINDER,FAILURE
training_0392,cust_0140,merchant_007,486.59,UNKNOWN_FAILURE,CARD,1670,0.6272,0.4620,0.6707,0.6671,2,1,0,REMINDER,FAILURE
training_0393,cust_0028,merchant_028,909.41,INSUFFICIENT_FUNDS,CARD,2601,0.6009,0.1843,0.8435,0.2126,2,0,0,RETRY,SUCCESS
training_0394,cust_0092,merchant_013,844.15,TEMPORARY_FAILURE,WALLET,1186,0.1968,0.6559,0.5247,0.4621,4,3,0,RETRY,FAILURE
training_0395,cust_0060,merchant_030,349.20,PAYMENT_METHOD_ERROR,CARD,227,0.1062,0.7150,0.2388,0.7807,1,0,1,RETRY,FAILURE
training_0396,cust_0265,merchant_030,11.54,UNKNOWN_FAILURE,UPI,370,0.6536,0.2712,0.1958,0.5409,4,3,1,RETRY,FAILURE
training_0397,cust_0292,merchant_005,131.03,PAYMENT_METHOD_ERROR,CARD,1742,0.5996,0.6001,0.1673,0.6778,1,0,0,REMINDER,FAILURE
training_0398,cust_0041,merchant_046,876.15,UNKNOWN_FAILURE,UPI,1760,0.6372,0.2597,0.1798,0.2146,1,0,0,RETRY,FAILURE
training_0399,cust_0120,merchant_035,446.18,TEMPORARY_FAILURE,WALLET,140,0.8653,0.7684,0.7743,0.1681,5,4,1,REMINDER,FAILURE
training_0400,cust_0211,merchant_049,406.02,PAYMENT_METHOD_ERROR,UPI,1824,0.6458,0.5042,0.5764,0.3155,2,1,0,REMINDER,FAILURE
training_0401,cust_0118,merchant_030,142.03,TEMPORARY_FAILURE,UPI,1308,0.6772,0.6817,0.7240,0.8535,4,2,2,REMINDER,FAILURE
training_0402,cust_0181,merchant_012,708.82,UNKNOWN_FAILURE,UPI,1662,0.4016,0.1159,0.5517,0.1683,1,1,0,RETRY,SUCCESS
training_0403,cust_0254,merchant_035,43.03,UNKNOWN_FAILURE,UPI,2782,0.5524,0.1098,0.4949,0.8517,2,0,0,REMINDER,FAILURE
training_0404,cust_0293,merchant_003,53.48,INSUFFICIENT_FUNDS,UPI,116,0.9403,0.1671,0.3610,0.6678,4,4,0,REMINDER,FAILURE
training_0405,cust_0262,merchant_042,421.34,PAYMENT_METHOD_ERROR,WALLET,349,0.1570,0.4822,0.8311,0.8638,5,2,1,RETRY,FAILURE
training_0406,cust_0248,merchant_024,917.76,INSUFFICIENT_FUNDS,UPI,1063,0.1501,0.8147,0.5023,0.5878,3,2,1,RETRY,FAILURE
training_0407,cust_0145,merchant_011,581.29,TEMPORARY_FAILURE,NETBANKING,1154,0.4166,0.7161,0.5357,0.2777,5,1,1,RETRY,SUCCESS
training_0408,cust_0336,merchant_019,917.74,PAYMENT_METHOD_ERROR,NETBANKING,2449,0.9095,0.8925,0.3052,0.5349,3,1,1,RETRY,FAILURE
training_0409,cust_0146,merchant_021,601.36,TEMPORARY_FAILURE,CARD,11,0.4326,0.1056,0.1520,0.0951,2,2,0,RETRY,FAILURE
training_0410,cust_0117,merchant_009,909.08,PAYMENT_METHOD_ERROR,WALLET,2665,0.2077,0.1913,0.4401,0.2122,4,2,2,RETRY,FAILURE
training_0411,cust_0194,merchant_005,868.87,UNKNOWN_FAILURE,NETBANKING,1253,0.5977,0.4028,0.3851,0.0987,2,1,1,REMINDER,FAILURE
training_0412,cust_0160,merchant_050,489.08,PAYMENT_METHOD_ERROR,UPI,2428,0.4175,0.4793,0.1481,0.4599,3,3,0,RETRY,FAILURE
training_0413,cust_0196,merchant_045,870.97,INSUFFICIENT_FUNDS,WALLET,566,0.2183,0.6351,0.6644,0.6129,4,1,3,REMINDER,FAILURE
training_0414,cust_0219,merchant_042,999.71,INSUFFICIENT_FUNDS,UPI,2341,0.1937,0.1357,0.3222,0.2856,2,2,0,RETRY,FAILURE
training_0415,cust_0314,merchant_004,941.33,INSUFFICIENT_FUNDS,CARD,998,0.6099,0.6789,0.6341,0.7588,4,0,0,RETRY,FAILURE
training_0416,cust_0089,merchant_008,591.27,TEMPORARY_FAILURE,UPI,1179,0.7627,0.7055,0.2635,0.1504,0,0,0,RETRY,SUCCESS
training_0417,cust_0306,merchant_031,354.05,PAYMENT_METHOD_ERROR,NETBANKING,2158,0.8172,0.7454,0.2279,0.6871,4,3,0,RETRY,FAILURE
training_0418,cust_0008,merchant_002,971.47,UNKNOWN_FAILURE,UPI,2587,0.5502,0.4465,0.7873,0.0726,5,3,0,REMINDER,FAILURE
training_0419,cust_0112,merchant_047,762.40,PAYMENT_METHOD_ERROR,NETBANKING,2076,0.6337,0.6042,0.6228,0.5530,4,2,2,REMINDER,FAILURE
training_0420,cust_0312,merchant_021,81.16,INSUFFICIENT_FUNDS,UPI,304,0.8317,0.5681,0.1246,0.0872,5,2,0,REMINDER,FAILURE
training_0421,cust_0055,merchant_013,414.75,TEMPORARY_FAILURE,CARD,117,0.8093,0.1259,0.8804,0.1594,3,1,1,REMINDER,FAILURE
training_0422,cust_0169,merchant_046,725.55,TEMPORARY_FAILURE,NETBANKING,108,0.8267,0.1689,0.1376,0.7662,3,1,2,RETRY,FAILURE
training_0423,cust_0265,merchant_012,320.60,PAYMENT_METHOD_ERROR,UPI,1512,0.2308,0.8274,0.2118,0.5847,2,1,1,REMINDER,FAILURE
training_0424,cust_0173,merchant_044,68.05,UNKNOWN_FAILURE,UPI,2710,0.7821,0.5429,0.6909,0.6339,0,0,0,REMINDER,FAILURE
training_0425,cust_0335,merchant_016,634.73,INSUFFICIENT_FUNDS,NETBANKING,2765,0.1385,0.6971,0.7199,0.8982,3,2,0,RETRY,FAILURE
training_0426,cust_0006,merchant_041,751.74,TEMPORARY_FAILURE,WALLET,2573,0.9119,0.2829,0.6737,0.3991,5,1,1,REMINDER,SUCCESS
training_0427,cust_0059,merchant_041,834.55,INSUFFICIENT_FUNDS,NETBANKING,1771,0.4786,0.7152,0.4324,0.1369,5,2,0,REMINDER,FAILURE
training_0428,cust_0032,merchant_038,627.25,INSUFFICIENT_FUNDS,CARD,944,0.1675,0.2690,0.1058,0.5040,0,0,0,REMINDER,SUCCESS
training_0429,cust_0347,merchant_002,794.61,PAYMENT_METHOD_ERROR,NETBANKING,2623,0.8883,0.2399,0.3665,0.5857,1,1,0,RETRY,FAILURE
training_0430,cust_0161,merchant_026,421.75,PAYMENT_METHOD_ERROR,CARD,936,0.8792,0.3319,0.6204,0.4115,2,2,0,RETRY,FAILURE
training_0431,cust_0242,merchant_019,687.16,TEMPORARY_FAILURE,WALLET,470,0.1233,0.5951,0.3748,0.1845,3,1,1,REMINDER,FAILURE
training_0432,cust_0055,merchant_048,864.49,PAYMENT_METHOD_ERROR,CARD,1135,0.6905,0.7042,0.9167,0.2483,2,2,0,RETRY,FAILURE
training_0433,cust_0306,merchant_046,435.66,TEMPORARY_FAILURE,CARD,1928,0.1255,0.6637,0.4735,0.1813,3,1,2,RETRY,FAILURE
training_0434,cust_0094,merchant_031,623.61,INSUFFICIENT_FUNDS,CARD,556,0.8500,0.2879,0.2284,0.3462,5,0,5,REMINDER,FAILURE
training_0435,cust_0311,merchant_020,699.31,PAYMENT_METHOD_ERROR,UPI,1295,0.4461,0.2368,0.6235,0.4361,2,2,0,REMINDER,FAILURE
training_0436,cust_0300,merchant_004,906.33,PAYMENT_METHOD_ERROR,CARD,2085,0.2290,0.0544,0.9163,0.4107,0,0,0,REMINDER,FAILURE
training_0437,cust_0342,merchant_011,409.97,INSUFFICIENT_FUNDS,NETBANKING,1611,0.4027,0.4211,0.2723,0.5132,1,0,1,RETRY,FAILURE
training_0438,cust_0271,merchant_014,253.99,INSUFFICIENT_FUNDS,WALLET,2235,0.8457,0.8587,0.2745,0.8209,4,4,0,RETRY,FAILURE
training_0439,cust_0031,merchant_001,559.39,TEMPORARY_FAILURE,UPI,1977,0.5158,0.2573,0.7184,0.7989,2,1,0,REMINDER,FAILURE
training_0440,cust_0134,merchant_030,83.51,UNKNOWN_FAILURE,NETBANKING,296,0.3504,0.5316,0.1629,0.1172,3,2,0,REMINDER,FAILURE
training_0441,cust_0307,merchant_012,644.10,UNKNOWN_FAILURE,WALLET,563,0.7190,0.8897,0.4425,0.2939,2,2,0,REMINDER,FAILURE
training_0442,cust_0061,merchant_024,48.07,INSUFFICIENT_FUNDS,UPI,846,0.4128,0.8255,0.8543,0.3793,4,2,0,RETRY,FAILURE
training_0443,cust_0338,merchant_027,139.36,UNKNOWN_FAILURE,NETBANKING,2761,0.2325,0.7539,0.5026,0.0862,4,2,0,REMINDER,FAILURE
training_0444,cust_0331,merchant_025,295.33,PAYMENT_METHOD_ERROR,CARD,71,0.7554,0.6495,0.3294,0.2401,2,0,1,REMINDER,SUCCESS
training_0445,cust_0330,merchant_031,307.13,PAYMENT_METHOD_ERROR,WALLET,2146,0.3105,0.1455,0.1089,0.3790,3,2,0,RETRY,FAILURE
training_0446,cust_0318,merchant_021,397.54,INSUFFICIENT_FUNDS,WALLET,2543,0.1629,0.7795,0.3726,0.6410,3,0,3,REMINDER,FAILURE
training_0447,cust_0025,merchant_007,623.91,TEMPORARY_FAILURE,NETBANKING,2755,0.7149,0.1420,0.1553,0.2792,1,1,0,RETRY,FAILURE
training_0448,cust_0309,merchant_028,688.55,PAYMENT_METHOD_ERROR,WALLET,574,0.1955,0.2858,0.4436,0.2562,5,4,0,REMINDER,FAILURE
training_0449,cust_0123,merchant_039,774.16,INSUFFICIENT_FUNDS,UPI,811,0.2507,0.3902,0.4818,0.1735,2,1,1,REMINDER,FAILURE
training_0450,cust_0093,merchant_044,214.44,TEMPORARY_FAILURE,CARD,17,0.4728,0.3713,0.7960,0.5573,3,2,0,RETRY,SUCCESS
training_0451,cust_0164,merchant_049,921.34,PAYMENT_METHOD_ERROR,NETBANKING,2428,0.1715,0.6559,0.3181,0.6254,3,3,0,RETRY,FAILURE
training_0452,cust_0173,merchant_033,538.45,PAYMENT_METHOD_ERROR,NETBANKING,2037,0.5034,0.1821,0.4843,0.5432,5,0,0,RETRY,FAILURE
training_0453,cust_0340,merchant_024,274.09,PAYMENT_METHOD_ERROR,CARD,365,0.2572,0.4637,0.1060,0.8874,2,2,0,RETRY,FAILURE
training_0454,cust_0181,merchant_046,136.60,PAYMENT_METHOD_ERROR,NETBANKING,1864,0.4825,0.1884,0.4600,0.3363,5,2,0,RETRY,FAILURE
training_0455,cust_0304,merchant_029,904.75,UNKNOWN_FAILURE,UPI,98,0.7699,0.5752,0.7615,0.6283,5,5,0,REMINDER,FAILURE
training_0456,cust_0067,merchant_016,66.49,INSUFFICIENT_FUNDS,WALLET,2848,0.7263,0.1042,0.5728,0.5664,2,2,0,RETRY,FAILURE
training_0457,cust_0061,merchant_009,707.86,UNKNOWN_FAILURE,UPI,2306,0.3860,0.1582,0.4272,0.4222,4,1,3,RETRY,FAILURE
training_0458,cust_0348,merchant_047,714.44,TEMPORARY_FAILURE,WALLET,1684,0.2160,0.6693,0.5930,0.2453,4,1,3,RETRY,FAILURE
training_0459,cust_0192,merchant_019,118.47,INSUFFICIENT_FUNDS,UPI,1436,0.1364,0.8679,0.4738,0.4428,1,1,0,RETRY,SUCCESS
training_0460,cust_0112,merchant_015,886.84,INSUFFICIENT_FUNDS,UPI,1081,0.6908,0.6906,0.5047,0.8055,1,1,0,RETRY,SUCCESS
training_0461,cust_0262,merchant_008,59.13,PAYMENT_METHOD_ERROR,CARD,2828,0.6277,0.8285,0.7339,0.4750,2,1,1,REMINDER,FAILURE
training_0462,cust_0125,merchant_031,366.62,UNKNOWN_FAILURE,CARD,2842,0.1902,0.7961,0.2820,0.3772,5,2,0,REMINDER,FAILURE
training_0463,cust_0128,merchant_019,642.66,INSUFFICIENT_FUNDS,NETBANKING,920,0.4517,0.2478,0.7424,0.7707,0,0,0,REMINDER,FAILURE
training_0464,cust_0045,merchant_033,856.14,PAYMENT_METHOD_ERROR,UPI,915,0.7480,0.1442,0.7940,0.2837,5,1,0,RETRY,FAILURE
training_0465,cust_0144,merchant_016,745.24,PAYMENT_METHOD_ERROR,UPI,640,0.6542,0.5367,0.4462,0.2520,5,1,1,REMINDER,FAILURE
training_0466,cust_0013,merchant_032,66.99,PAYMENT_METHOD_ERROR,CARD,850,0.2263,0.1510,0.1457,0.3562,3,3,0,RETRY,FAILURE
training_0467,cust_0227,merchant_020,873.85,INSUFFICIENT_FUNDS,UPI,525,0.1947,0.5498,0.8288,0.3433,2,2,0,RETRY,FAILURE
training_0468,cust_0268,merchant_011,630.41,UNKNOWN_FAILURE,NETBANKING,49,0.8694,0.8136,0.4999,0.8188,0,0,0,RETRY,SUCCESS
training_0469,cust_0294,merchant_041,39.99,INSUFFICIENT_FUNDS,WALLET,2078,0.5316,0.1467,0.2496,0.8772,1,1,0,RETRY,FAILURE
training_0470,cust_0055,merchant_031,97.56,TEMPORARY_FAILURE,WALLET,1546,0.3437,0.1497,0.3758,0.6721,4,1,1,RETRY,SUCCESS
training_0471,cust_0018,merchant_002,869.69,UNKNOWN_FAILURE,UPI,212,0.3540,0.7610,0.1166,0.6900,3,2,1,REMINDER,FAILURE
training_0472,cust_0258,merchant_015,109.55,PAYMENT_METHOD_ERROR,CARD,2797,0.1639,0.4546,0.5541,0.3618,4,0,0,REMINDER,FAILURE
training_0473,cust_0087,merchant_045,123.98,UNKNOWN_FAILURE,UPI,2548,0.2581,0.1770,0.8592,0.6965,3,3,0,REMINDER,FAILURE
training_0474,cust_0092,merchant_036,716.26,PAYMENT_METHOD_ERROR,CARD,2780,0.1189,0.2298,0.7903,0.4771,3,0,3,RETRY,FAILURE
training_0475,cust_0320,merchant_008,789.74,INSUFFICIENT_FUNDS,UPI,1273,0.1673,0.8890,0.8083,0.1288,2,2,0,REMINDER,FAILURE
training_0476,cust_0186,merchant_038,673.24,INSUFFICIENT_FUNDS,NETBANKING,1932,0.8022,0.5781,0.6233,0.1957,3,2,1,RETRY,FAILURE
training_0477,cust_0338,merchant_003,505.12,PAYMENT_METHOD_ERROR,UPI,782,0.5103,0.3420,0.2390,0.3698,2,2,0,REMINDER,FAILURE
training_0478,cust_0159,merchant_030,625.73,UNKNOWN_FAILURE,CARD,1160,0.5217,0.1251,0.9308,0.8957,2,0,2,REMINDER,FAILURE
training_0479,cust_0012,merchant_038,239.49,INSUFFICIENT_FUNDS,WALLET,41,0.4012,0.1836,0.4356,0.0683,3,3,0,RETRY,FAILURE
training_0480,cust_0001,merchant_027,981.78,PAYMENT_METHOD_ERROR,UPI,2553,0.9103,0.1576,0.1700,0.6322,2,1,0,RETRY,FAILURE
training_0481,cust_0249,merchant_035,599.45,TEMPORARY_FAILURE,CARD,1972,0.4427,0.1084,0.2676,0.0962,3,3,0,RETRY,FAILURE
training_0482,cust_0089,merchant_011,79.59,TEMPORARY_FAILURE,CARD,1949,0.4625,0.4878,0.5612,0.0748,3,0,3,REMINDER,FAILURE
training_0483,cust_0163,merchant_019,624.84,INSUFFICIENT_FUNDS,CARD,2002,0.4470,0.3228,0.6051,0.6978,4,4,0,RETRY,SUCCESS
training_0484,cust_0094,merchant_025,62.22,PAYMENT_METHOD_ERROR,WALLET,2301,0.4861,0.4621,0.1051,0.1239,3,0,1,RETRY,FAILURE
training_0485,cust_0290,merchant_035,426.96,PAYMENT_METHOD_ERROR,CARD,38,0.8829,0.8293,0.7829,0.3858,0,0,0,REMINDER,FAILURE
training_0486,cust_0341,merchant_023,537.15,TEMPORARY_FAILURE,WALLET,253,0.2945,0.8868,0.5985,0.6607,4,4,0,RETRY,SUCCESS
training_0487,cust_0068,merchant_015,846.37,INSUFFICIENT_FUNDS,CARD,1308,0.8325,0.6117,0.9244,0.1308,3,2,0,RETRY,FAILURE
training_0488,cust_0080,merchant_026,555.49,INSUFFICIENT_FUNDS,UPI,201,0.4061,0.4946,0.7037,0.8066,4,2,0,REMINDER,FAILURE
training_0489,cust_0221,merchant_047,859.18,INSUFFICIENT_FUNDS,WALLET,2485,0.3395,0.4392,0.4087,0.2881,0,0,0,RETRY,FAILURE
training_0490,cust_0163,merchant_012,108.65,PAYMENT_METHOD_ERROR,CARD,2574,0.3812,0.2573,0.6933,0.7651,1,0,1,RETRY,FAILURE
training_0491,cust_0163,merchant_046,832.26,PAYMENT_METHOD_ERROR,UPI,1266,0.1182,0.7377,0.5483,0.0832,0,0,0,RETRY,FAILURE
training_0492,cust_0015,merchant_015,22.38,PAYMENT_METHOD_ERROR,UPI,571,0.4604,0.7056,0.7966,0.4641,5,4,1,RETRY,FAILURE
training_0493,cust_0058,merchant_050,86.98,TEMPORARY_FAILURE,UPI,2267,0.3366,0.7524,0.3503,0.2651,1,1,0,RETRY,FAILURE
training_0494,cust_0039,merchant_010,909.99,PAYMENT_METHOD_ERROR,CARD,1180,0.7711,0.1776,0.4597,0.5670,1,0,0,REMINDER,FAILURE
training_0495,cust_0282,merchant_007,45.42,UNKNOWN_FAILURE,UPI,2025,0.2852,0.3726,0.5618,0.8495,2,2,0,RETRY,FAILURE
training_0496,cust_0105,merchant_024,659.36,PAYMENT_METHOD_ERROR,NETBANKING,1976,0.8342,0.5810,0.2124,0.8465,0,0,0,REMINDER,FAILURE
training_0497,cust_0175,merchant_042,744.44,UNKNOWN_FAILURE,WALLET,1104,0.1399,0.4206,0.6622,0.8528,2,2,0,RETRY,FAILURE
training_0498,cust_0255,merchant_024,287.83,INSUFFICIENT_FUNDS,UPI,279,0.7440,0.6906,0.5568,0.1078,4,3,0,REMINDER,FAILURE
training_0499,cust_0249,merchant_030,536.41,TEMPORARY_FAILURE,NETBANKING,344,0.5347,0.6557,0.5576,0.3977,2,0,1,REMINDER,FAILURE
training_0500,cust_0112,merchant_017,256.27,INSUFFICIENT_FUNDS,NETBANKING,2159,0.6046,0.4218,0.4143,0.1249,1,0,1,RETRY,FAILURE
training_0501,cust_0225,merchant_016,931.77,UNKNOWN_FAILURE,NETBANKING,1669,0.9253,0.1035,0.8144,0.2386,5,3,0,RETRY,FAILURE
training_0502,cust_0049,merchant_046,663.00,PAYMENT_METHOD_ERROR,NETBANKING,975,0.9033,0.5713,0.8552,0.2124,5,1,4,RETRY,FAILURE
training_0503,cust_0030,merchant_014,628.75,PAYMENT_METHOD_ERROR,UPI,2219,0.4604,0.3047,0.8994,0.2476,3,3,0,REMINDER,FAILURE
training_0504,cust_0303,merchant_022,341.21,UNKNOWN_FAILURE,CARD,2422,0.7540,0.6657,0.6745,0.5278,5,1,0,RETRY,FAILURE
training_0505,cust_0154,merchant_023,848.29,UNKNOWN_FAILURE,CARD,2472,0.8489,0.1576,0.3694,0.5449,1,0,0,REMINDER,FAILURE
training_0506,cust_0346,merchant_023,247.43,PAYMENT_METHOD_ERROR,CARD,104,0.1869,0.7994,0.4297,0.5772,3,1,0,REMINDER,FAILURE
training_0507,cust_0202,merchant_009,769.55,UNKNOWN_FAILURE,CARD,385,0.3692,0.7812,0.8037,0.8386,0,0,0,REMINDER,FAILURE
